trainNo,trainName,from,to,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Type
16350,NIL-KCVL RAJA RANI EXP,NIL,KCVL,1,1,1,1,1,1,1,MEX
16351,CSMT- NCJ EXP,CSMT,NCJ,,1,,,,1,,MEX
16352,NCJ-CSMT  EXP,NCJ,CSMT,1,,,,1,,,MEX
16353,KCG-NCJ WEEKLY EXP,KCG,NCJ,1,,,,,,,MEX
16354,NCJ-KCG  WEEKLY EXP,NCJ,KCG,,,,,,,1,MEX
16355,KCVL-MAJN ANTYODAYA EXP,KCVL,MAJN,,,,,1,,1,MEX
16356,MAJN- KCVL ANTYODAYA EXP,MAJN,KCVL,1,,,,,1,,MEX
16361,ERS-VLNK BI-WEEKLY EXP,ERS,VLNK,,1,,,,,1,MEX
16362,VLNK-ERS BI-WEEKLY EXP,VLNK,ERS,1,,1,,,,,MEX
16366,NCJ-KTYM  EXPRESS,NCJ,KTYM,1,1,1,1,1,1,1,MEX
16367,CAPE-BSBS KASHI TAMIL EXP,CAPE,BSBS,,,,,1,,,MEX
16368,BSBS-CAPE WEEKLY EXP,BSBS,CAPE,1,,,,,,,MEX
16381,PUNE-KANYAKUMARI EXP,PUNE,CAPE,1,1,1,1,1,1,1,MEX
16382,CAPE PUNE  EXP,CAPE,PUNE,1,1,1,1,1,1,1,MEX
16525,CAPE-SBC EXPRESS,CAPE,SBC,1,1,1,1,1,1,1,MEX
16526,SBC-CAPE EXPRESS,SBC,CAPE,1,1,1,1,1,1,1,MEX
16603,MAQ-TVC EXP,MAQ,TVC,1,1,1,1,1,1,1,MEX
16604,TVC-MAQ EXP,TVC,MAQ,1,1,1,1,1,1,1,MEX
16605,MAQ-TVC EXP,MAQ,TVC,1,1,1,1,1,1,1,MEX
16606,TVC-MAQ EXP,TVC,MAQ,1,1,1,1,1,1,1,MEX
16609,TCR-CAN EXPRESS,TCR,CAN,1,1,1,1,1,1,1,MEX
16629,TVC-MAQ EXP,TVC,MAQ,1,1,1,1,1,1,1,MEX
16630,MAQ-TVC EXP,MAQ,TVC,1,1,1,1,1,1,1,MEX
16649,MAQ-CAPE PARASURAM EXP,MAQ,CAPE,1,1,1,1,1,1,1,MEX
16650,CAPE-MAQ PARASURAM EXP,CAPE,MAQ,1,1,1,1,1,1,1,MEX
16729,MDU-PUU EXP,MDU,PUU,1,1,1,1,1,1,1,MEX
16730,PUU-MDU EXP,PUU,MDU,1,1,1,1,1,1,1,MEX
16791,TEN-PGT PALARUVI EXP,TEN,PGT,1,1,1,1,1,1,1,MEX
16792,PGT-TEN  PALARUVI EXP,PGT,TEN,1,1,1,1,1,1,1,MEX
16861,PDY-CAPE EXP,PDY,CAPE,1,,,,,,,MEX
16862,CAPE-PDY EXP,CAPE,PDY,,1,,,,,,MEX
17229,TVC-SC SABARI EXP,TVC,SC,1,1,1,1,1,1,1,MEX
17230,SC-TVC SABARI EXP,SC,TVC,1,1,1,1,1,1,1,MEX
17235,SBC-NCJ EXPRESS,SMVB,NCJ,1,1,1,1,1,1,1,MEX
17236,NCJ-SMVBEXPRES,NCJ,SMVB,1,1,1,1,1,1,1,MEX
17421,TPTY-OLN,TPTY,QLN,,,1,,,1,,MEX
17422,QLN-TPTY,QLN,TPTY,,,,1,,,1,MEX
18189,TATA-ERS EXPRESS ,TATA,ERS,1,1,1,1,1,1,1,MEX
18190,ERS-TATA EXPRESS,ERS,TATA,1,1,1,1,1,1,1,MEX
18567,VSKP-QLN WEEKLY ,VSKP,QLN,,,,,1,,,MEX
18568,QLN-VSKP WEEKLY EX,QLN,VSKP,,,,,,1,,MEX
19259,KCVL BVC EXPRESS,KCVL,BVC,,,,,1,,,MEX
19260,BVC KCVL EXP,BVC,KCVL,,,1,,,,,MEX
19577,JAMNAGAR EXP,TEN,JAM,,1,1,,,,,MEX
19578,JAM TEN EXPRESS,JAM,TEN,,,,,,1,1,MEX
20631,MAQ-TVC VANDE BHARAT EXP,MAQ,TVC,1,1,1,,1,1,1,VNDB
20632,TVC-MAQ VANDE BHARAT EXP,TVC,MAQ,1,1,1,,1,1,1,VNDB
20633,KGQ-TVC VANDE BHARAT EXP,KGQ,TVC,1,1,1,1,,1,1,VNDB
20634,TVC-KGQ VANDE BHARAT EXP,TVC,KGQ,1,1,1,1,,1,1,VNDB
20635,MS-QLN Anantapuri SF EXP,MS,QLN,1,1,1,1,1,1,1,SUF
20636,QLN-MS Anantapuri SF EXP,QLN,MS,1,1,1,1,1,1,1,SUF
20691,TBM-NCJ ANTYODAYA SF  EXP,TBM,NCJ,1,1,1,1,1,1,1,SUF
20692,NCJ-TBM ANTYODAYA SF EXP,NCJ,TBM,1,1,1,1,1,1,1,SUF
20909,KCVL-PBR S.F EXP,KCVL,PBR,1,,,,,,,SUF
20910,KOCHUVELI EXP,PBR,KCVL,,,,,1,,,SUF
20923,TEN-GIMB HUMSAFAR EXP,TEN,GIMB,,,,,1,,,SUF
20924,GIM TEN HUMSAFAR,GIMB,TEN,,1,,,,,,SUF
20931,KCVL INDORE EXP,KCVL,INDB,,,,,,1,,SUF
20932,INDB KCVL EXP,INDB,KCVL,,,1,,,,,SUF
22113,LTT-KCVL BI-WEEKLY SF EXP,LTT,KCVL,,,1,,,,1,SUF
22114,KCVL-LTT BI-WEEKLY SF EXP,KCVL,LTT,,1,,,1,,,SUF
22149,ERS-PUNE SF EXPRESS,ERS,PUNE,,,1,,,1,,SUF
22150,PUNE-ERS SF EXPRESS,PUNE,ERS,1,,,1,,,,SUF
22207,MAS-TVC SF AC  EXPRESS,MAS,TVC,,,1,,,1,,SUF
22208,TVC-MAS SF AC EXPRESS,TVC,MAS,1,,,1,,,,SUF
22503,VIVEK EXPRESS,CAPE,DBRG,,1,1,1,1,,1,SUF
22504,VIVEK EXPRESS,DBRG,CAPE,1,,1,,1,1,1,SUF
22619,BSP TEN SF EXP,BSP,TEN,,,1,,,,,SUF
22620,TEN BSP  SF EXP,TEN,BSP,1,,,,,,,SUF
22621,RMM-CAPE SUPER FAST EXP,RMM,CAPE,,1,,1,,,1,SUF
22622,CAPE-RMM SUPER FAST EXP,CAPE,RMM,1,,1,,1,,,SUF
22627,TPJ-TVC  SF,TPJ,TVC,1,1,1,1,1,1,1,SUF
22628,TVC-TPJ SF,TVC,TPJ,1,1,1,1,1,1,1,SUF
22633,NIZAMUDDIN EXP,TVC,NZM,,,,1,,,,SUF
22634,NZM TVC SF EXP,NZM,TVC,,,,,,1,,SUF
22639,MAS-ALLP SF EXP,MAS,ALLP,1,1,1,1,1,1,1,SUF
22640,ALLP-MAS SF EXP,ALLP,MAS,1,1,1,1,1,1,1,SUF
22641,TVC-SHM BI-WEEKLY  EXP,TVC,SHM,,,,,1,,1,SUF
22642,SHM TVC BI-WEEKLY SF EXP,SHM,TVC,1,,1,,,,,SUF
22643,ERS-PNBE  BI-WKLY SF EXP,ERS,PNBE,,1,1,,,,,SUF
22644,PNBE-ERS BI-WKLY SF EXP,PNBE,ERS,,,,,1,1,,SUF
22645,INDB-KCVL SF EXP,INDB,KCVL,,1,,,,,,SUF
22646,KCVL-INDB SF EXP,KCVL,INDB,,,,,,,1,SUF
22647,KRBA-KCVL SF EXP,KRBA,KCVL,,,,1,,,1,SUF
22648,KCVL-KRBA SF EXP,KCVL,KRBA,,1,,,1,,,SUF
22653,TVC-NZM WKLY SF EXP,TVC,NZM,,,,,,1,,SUF
22654,NZM-TVC WKLY  SF EXP,NZM,TVC,,1,,,,,,SUF
22655,ERS-NZM WKLY SF EXP,ERS,NZM,,,,1,,,,SUF
22656,NZM-ERS WKLY  SF EXP,NZM,ERS,,,,,,1,,SUF
22657,TBM-NCJ SF TRI WKLY EXP,TBM,NCJ,1,1,,1,,,,SUF
22658,NCJ-TBM TRI WKLY SF EXP,NCJ,TBM,,1,1,,1,,,SUF
22659,KCVL-YNRk SF EXP,KCVL,YNRK,,,,,,1,,SUF
22660,YNRK-KCVL SF EXP,YNRK,KCVL,,1,,,,,,SUF
22667,NCJ-CBE SUPER FAST EXP,NCJ,CBE,1,1,1,1,1,1,1,SUF
22668,CBE-NCJ SF EXP,CBE,NCJ,1,1,1,1,1,1,1,SUF
22669,ERS PATNA SF EXP,ERS,PNBE,,,,,,,1,SUF
22670,PNBE-ERS SF EXP,PNBE,ERS,,,1,,,,,SUF
22677,YPR-KCVL AC EXPRESS,YPR,KCVL,,,,,1,,,MEX
22678,KCVL-YPR SF EXPRESS,KCVL,YPR,,,,,,1,,SUF
22815,BSP ERS SF EXP,BSP,ERS,,1,,,,,,SUF
22816,ERS BSP SF EXP,ERS,BSP,,,,1,,,,SUF
22837,HTE ERS DHARTI AABA EXP,HTE,ERS,,1,,,,,,SUF
22838,ERS HTE DHARTI AABA EXP,ERS,HTE,,,,1,,,,SUF
22877,HWH-ERS ANTYODAYA EXPRESS,HWH,ERS,,,,,,,1,SUF
22878,ERS-HWH ANTYODAYA EXP ,ERS,HWH,,1,,,,,,SUF
